,Abstract,Year
1995,"Background: Individuals with chronic kidney disease (CKD), hypertension (HTN), or diabetes mellitus (DM) are at increased risk for cardiovascular disease (CVD). The extent to which psychosocial factors are associated with increased CVD risk within these individuals is unclear. Black individuals experience a high degree of psychosocial stressors due to socioeconomic factors, environment, racism, and discrimination. We examined the association between psychosocial factors and risk of CVD events among Black men and women with CKD and CKD risk factors in the Jackson Heart Study. Methods and Results: We identified 1919 participants with prevalent CKD or CKD risk factors at baseline. We used rotated principal component analysis - a form of unsupervised machine learning that may identify constructs not intuitively identified by a person - to describe five groups of psychosocial components (including negative moods, religiosity, discrimination, negative outlooks, and negative coping resources) based on a battery of questionnaires. Multiple imputation by chained equation (MICE) was used to impute missing covariate data. Cox models were used to quantify the association between psychosocial components and incident CVD, defined as a fatal coronary heart disease event, myocardial infarction, cardiac procedure (angiography or revascularization procedure), or stroke. Of the 929 participants in the analysis, 67% were female, 28% were current/former smokers with mean age of 56 years and mean BMI of 33 kg/m2. Over a median follow-up of 8 years, 6% had an incident CVD event. In multivariable models, each standard deviation (SD) increase in the religiosity component was associated with an increased hazard for CVD event (hazard ratio [HR] = 1.52, 95% CI: 1.09–2.13). Conclusions: Religiosity was associated with CVD among participants with prevalent CKD or CKD risk factors. Studies to better understand the mechanisms of this relationship are needed. © 2021, The Author(s).",2021
1577,"BACKGROUND: Contemporary guidelines recommend using atherosclerotic cardiovascular disease screening tools to guide primary prevention. The performance of these scores is not well known in patients with moderate to advanced chronic kidney disease, particularly in combination with clinically available cardiac biomarkers including N-terminal pro– brain-type natriuretic peptide and high-sensitivity troponin T (hsTnT). METHODS AND RESULTS: We studied 1027 participants from the Chronic Renal Insufficiency Cohort without self-reported atherosclerotic cardiovascular disease who were not taking aspirin or statins at enrollment. Framingham Risk Score, Pooled Cohort Equation, N-terminal pro– brain-type natriuretic peptide, and hsTnT were measured at baseline. Outcomes included fatal and nonfatal myocardial infarction, stroke, and cardiac death. We calculated 10-fold cross-validated Harrell’s C-indices for each risk score and cardiac biomarker alone and in combination. The C-index (95% CI) for discrimination of atherosclerotic cardiovascular disease was 0.72 (0.67, 0.77) for the Framingham Risk Score, and 0.72 (0.67, 0.76) for the Pooled Cohort Equation. HsTnT had comparable discrimination to each risk score, and improved the discrimination of each (change in Framingham 0.029, 95% CI 0.003, 0.055; change in Pooled Cohort Equation 0.027, 95% CI 0.002, 0.052). N-terminal pro– brain-type natriuretic peptide had poorer discrimination than the risk scores and did not significantly improve their discrimination (change in Framingham 0.009, 95% CI −0.001, 0.018; change in Pooled Cohort Equation 0.011, 95% CI −0.001, 0.024). CONCLUSIONS: The Framingham Risk Score and Pooled Cohort Equation demonstrated moderate discrimination for atherosclerotic cardiovascular disease in patients with chronic kidney disease. HsTnT, but not N-terminal pro– brain-type natriuretic peptide, improved their discrimination overall. Until chronic kidney disease– specific atherosclerotic cardiovascular disease risk scores can be developed, it may be worth considering how to incorporate hsTnT into existing clinical risk scores. © 2022 The Authors.",2022
1750,[No abstract available],2020
1692,"A variety of atherosclerosis and cardiovascular disease (ASCVD) phenotypes are tightly linked to changes in the cardiac energy metabolism that can lead to a loss of metabolic flexibility and to unfavorable clinical outcomes. We conducted an association analysis of 31 ASCVD phenotypes and 97 whole blood amino acids, acylcarnitines and derived ratios in the LIFE-Adult (n = 9646) and LIFE-Heart (n = 5860) studies, respectively. In addition to hundreds of significant associations, a total of 62 associations of six phenotypes were found in both studies. Positive associations of various amino acids and a range of acylcarnitines with decreasing cardiovascular health indicate disruptions in mitochondrial, as well as peroxisomal fatty acid oxidation. We complemented our metabolite association analyses with whole blood and peripheral blood mononuclear cell (PBMC) gene-expression analyses of fatty acid oxidation and ketone-body metabolism related genes. This revealed several differential expressions for the heart failure biomarker N-terminal prohormone of brain natriuretic peptide (NT-proBNP) in peripheral blood mononuclear cell (PBMC) gene expression. Finally, we constructed and compared three prediction models of significant stenosis in the LIFEHeart study using (1) traditional risk factors only, (2) the metabolite panel only and (3) a combined model. Area under the receiver operating characteristic curve (AUC) comparison of these three models shows an improved prediction accuracy for the combined metabolite and classical risk factor model (AUC = 0.78, 95%-CI: 0.76–0.80). In conclusion, we improved our understanding of metabolic implications of ASCVD phenotypes by observing associations with metabolite concentrations and gene expression of the mitochondrial and peroxisomal fatty acid oxidation. Additionally, we demonstrated the predictive potential of the metabolite profile to improve classification of patients with significant stenosis. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022
1756,"In interventional cardiology (IC) the radiation dose variation is very significant, and its estimation has been difficult due to the complexity of the treatments. In order to tackle this problem, the aim of this study was to identify the most important demographic and clinical features to estimate Kerma-Area Product (KAP) radiation dose in coronary angiographies (CA) and percutaneous coronary interventions (PCI). The study was retrospective using clinical patient data from 838 CA and PCI procedures. A total of 59 features were extracted from the patient data and 9 different filter-based feature selection methods were used to select the most informative features in terms of the KAP radiation dose from the treatments. The selected features were then used in a support vector regression (SVR) model to evaluate their performance in estimating the radiation dose. The ten highest-ranking features were: (1) FN1AC (CA), (2) FN2BA (PCI), (3) weight, (4) post-stenosis 0%, (5) multi-vessel disease, (6) number of procedures 3, (7) pre-stenosis 100%, (8) American Heart Association (AHA) score C, (9) pre-stenosis 85% and (10) gender. The performance of the SVR model increased (mean squared error ≈ 450) with the number of features approximately up to 30 features. The identification of the most informative features for CA and PCI KAP is an important step in determining suitable complexity models for clinical practice. The highest-ranking features can be used as individual predictors of IC procedure KAP or can be incorporated into combined complexity score or different estimation models in the future. © 2020",2020
1953,"Objective: Ischemic heart disease (IHD), in its chronic stable form, is a subtle pathology due to its silent behavior before developing in unstable angina, myocardial infarction or sudden cardiac death. The clinical assessment is based on typical symptoms and finally confirmed, invasively, by coronary angiography. Recently, heart rate variability (HRV) analysis as well as some machine learning algorithms like artificial neural networks (ANNs) were used to identify cardiovascular arrhythmias and, only in few cases, to classify IHD segments in a limited number of subjects. The goal of this study was the identification of the ANN structure and the HRV parameters producing the best performance to identify IHD patients in a non-invasive way, validating the results on a large sample of subjects. Moreover, we examined the influence of a clinical non-invasive parameter, the left ventricular ejection fraction (LVEF), on the classification performance. Approach: To this aim, we extracted several linear and non-linear parameters from 24 h RR signal, considering both normal and ectopic beats (heart rate total variability), of 251 normal and 245 IHD subjects, matched by age and gender. ANNs using several different combinations of these parameters together with age and gender were tested. For each ANN, we varied the number of hidden neurons from 2 to 7 and simulated 100 times, changing randomly the training and test dataset. Main results: The HRTV parameters showed significant greater variability in IHD than in normal subjects. The ANN applied to mean RR, LF, LF/HF, beta exponent, SD2 together with age and gender reached a maximum accuracy of 71.8% and, by adding as input LVEF, an accuracy of 79.8%. Significance: The study provides a deep insight into how a combination of some HRTV parameters and LVEF could be exploited to reliably detect the presence of subjects affected by IHD. © 2020 Institute of Physics and Engineering in Medicine",2020
1669,"Aims/hypothesis: Type 2 diabetes is a heterogeneous disease process with variable trajectories of CVD risk. We aimed to evaluate four phenomapping strategies and their ability to stratify CVD risk in individuals with type 2 diabetes and to identify subgroups who may benefit from specific therapies. Methods: Participants with type 2 diabetes and free of baseline CVD in the Action to Control Cardiovascular Risk in Diabetes (ACCORD) trial were included in this study (N = 6466). Clustering using Gaussian mixture models, latent class analysis, finite mixture models (FMMs) and principal component analysis was compared. Clustering variables included demographics, medical and social history, laboratory values and diabetes complications. The interaction between the phenogroup and intensive glycaemic, combination lipid and intensive BP therapy for the risk of the primary outcome (composite of fatal myocardial infarction, non-fatal myocardial infarction or unstable angina) was evaluated using adjusted Cox models. The phenomapping strategies were independently assessed in an external validation cohort (Look Action for Health in Diabetes [Look AHEAD] trial: n = 4211; and Bypass Angioplasty Revascularisation Investigation 2 Diabetes [BARI 2D] trial: n = 1495). Results: Over 9.1 years of follow-up, 789 (12.2%) participants had a primary outcome event. FMM phenomapping with three phenogroups was the best-performing clustering strategy in both the derivation and validation cohorts as determined by Bayesian information criterion, Dunn index and improvement in model discrimination. Phenogroup 1 (n = 663, 10.3%) had the highest burden of comorbidities and diabetes complications, phenogroup 2 (n = 2388, 36.9%) had an intermediate comorbidity burden and lowest diabetes complications, and phenogroup 3 (n = 3415, 52.8%) had the fewest comorbidities and intermediate burden of diabetes complications. Significant interactions were observed between phenogroups and treatment interventions including intensive glycaemic control (p-interaction = 0.042) and combination lipid therapy (p-interaction < 0.001) in the ACCORD, intensive lifestyle intervention (p-interaction = 0.002) in the Look AHEAD and early coronary revascularisation (p-interaction = 0.003) in the BARI 2D trial cohorts for the risk of the primary composite outcome. Favourable reduction in the risk of the primary composite outcome with these interventions was noted in low-risk participants of phenogroup 3 but not in other phenogroups. Compared with phenogroup 3, phenogroup 1 participants were more likely to have severe/symptomatic hypoglycaemic events and medication non-adherence on follow-up in the ACCORD and Look AHEAD trial cohorts. Conclusions/interpretation: Clustering using FMMs was the optimal phenomapping strategy to identify replicable subgroups of patients with type 2 diabetes with distinct clinical characteristics, CVD risk and response to therapies. Graphical abstract: [Figure not available: see fulltext.]. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",2021
1558,"Objectives: The aim of this study was to precisely phenotype culprit and nonculprit lesions in myocardial infarction (MI) and lesions in stable coronary artery disease (CAD) using coronary computed tomography angiography (CTA)-based radiomic analysis. Background: It remains debated whether any single coronary atherosclerotic plaque within the vulnerable patient exhibits unique morphology conferring an increased risk of clinical events. Methods: A total of 60 patients with acute MI prospectively underwent coronary CTA before invasive angiography and were matched to 60 patients with stable CAD. For all coronary lesions, high-risk plaque (HRP) characteristics were qualitatively assessed, followed by semiautomated plaque quantification and extraction of 1,103 radiomic features. Machine learning models were built to examine the additive value of radiomic features for discriminating culprit lesions over and above HRP and plaque volumes. Results: Culprit lesions had higher mean volumes of noncalcified plaque (NCP) and low-density noncalcified plaque (LDNCP) compared with the highest-grade stenosis nonculprits and highest-grade stenosis stable CAD lesions (NCP: 138.1 mm3 vs 110.7 mm3 vs 102.7 mm3; LDNCP: 14.2 mm3 vs 9.8 mm3 vs 8.4 mm3; both Ptrend < 0.01). In multivariable linear regression adjusted for NCP and LDNCP volumes, 14.9% (164 of 1,103) of radiomic features were associated with culprits and 9.7% (107 of 1,103) were associated with the highest-grade stenosis nonculprits (critical P < 0.0007) when compared with highest-grade stenosis stable CAD lesions as reference. Hierarchical clustering of significant radiomic features identified 9 unique data clusters (latent phenotypes): 5 contained radiomic features specific to culprits, 1 contained features specific to highest-grade stenosis nonculprits, and 3 contained features associated with either lesion type. Radiomic features provided incremental value for discriminating culprit lesions when added to a machine learning model containing HRP and plaque volumes (area under the receiver-operating characteristic curve 0.86 vs 0.76; P = 0.004). Conclusions: Culprit lesions and highest-grade stenosis nonculprit lesions in MI have distinct radiomic signatures compared with lesions in stable CAD. Within the vulnerable patient may exist individual vulnerable plaques identifiable by coronary CTA-based precision phenotyping. © 2022 American College of Cardiology Foundation",2022
1845,"Background: Machine-Learning Computed Tomography-Based Fractional Flow Reserve (CT-FFRML) is a novel tool for the assessment of hemodynamic relevance of coronary artery stenoses. We examined the diagnostic performance of CT-FFRML compared to stress perfusion cardiovascular magnetic resonance (CMR) and tested if there is an additional value of CT-FFRML over coronary computed tomography angiography (cCTA). Methods: Our retrospective analysis included 269 vessels in 141 patients (mean age 67 ± 9 years, 78% males) who underwent clinically indicated cCTA and subsequent stress perfusion CMR within a period of 2 months. CT-FFRML values were calculated from standard cCTA. Results: CT-FFRML revealed no hemodynamic significance in 79% of the patients having ≥ 50% stenosis in cCTA. Chi2 values for the statistical relationship between CT-FFRML and stress perfusion CMR was significant (p < 0.0001). CT-FFRML and cCTA (≥ 70% stenosis) provided a per patient sensitivity of 88% (95%CI 64–99%) and 59% (95%CI 33–82%); specificity of 90% (95%CI 84–95%) and 85% (95%CI 78–91%); positive predictive value of 56% (95%CI 42–69%) and 36% (95%CI 24–50%); negative predictive value of 98% (95%CI 94–100%) and 94% (95%CI 90–96%); accuracy of 90% (95%CI 84–94%) and 82% (95%CI 75–88%) when compared to stress perfusion CMR. The accuracy of cCTA (≥ 50% stenosis) was 19% (95%CI 13–27%). The AUCs were 0.89 for CT-FFRML and 0.74 for cCTA (≥ 70% stenosis) and therefore significantly different (p < 0.05). Conclusion: CT-FFRML compared to stress perfusion CMR as the reference standard shows high diagnostic power in the identification of patients with hemodynamically significant coronary artery stenosis. This could support the role of cCTA as gatekeeper for further downstream testing and may reduce the number of patients undergoing unnecessary invasive workup. © 2022, The Author(s).",2022
1509,"Background: Separate noncontrast CT to quantify the coronary artery calcium (CAC) score often precedes coronary CT angiography (CTA). Quantifying CAC scores directly at CTA would eliminate the additional radiation produced at CT but remains challenging. Purpose: To quantify CAC scores automatically from a single CTA scan. Materials and Methods: In this retrospective study, a deep learning method to quantify CAC scores automatically from a single CTA scan was developed on training and validation sets of 292 patients and 73 patients collected from March 2019 to July 2020. Virtual noncontrast scans obtained with a spectral CT scanner were used to develop the algorithm to alleviate tedious manual annotation of calcium regions. The proposed method was validated on an independent test set of 240 CTA scans collected from three different CT scanners from August 2020 to November 2020 using the Pearson correlation coefficient, the coefficient of determination, or r2, and the Bland-Altman plot against the semiautomatic Agatston score at noncontrast CT. The cardiovascular risk categorization performance was evaluated using weighted k based on the Agatston score (CAC score risk categories: 0-10, 11-100, 101-400, and .400). Results: Two hundred forty patients (mean age, 60 years 6 11 [standard deviation]; 146 men) were evaluated. The positive correlation between the automatic deep learning CTA and semiautomatic noncontrast CT CAC score was excellent (Pearson correlation = 0.96; r2 = 0.92). The risk categorization agreement based on deep learning CTA and noncontrast CT CAC scores was excellent (weighted k = 0.94 [95% CI: 0.91, 0.97]), with 223 of 240 scans (93%) categorized correctly. All patients who were miscategorized were in the direct neighboring risk groups. The proposed method's differences from the noncontrast CT CAC score were not statistically significant with regard to scanner (P = .15), sex (P = .051), and section thickness (P = .67). Conclusion: A deep learning automatic calcium scoring method accurately quantified coronary artery calcium from CT angiography images and categorized risk.  © RSNA, 2021.",2022
